
After insertion, size of Splay tree: 500

Largest Element: 9992

Smallest Element: 2

 Node	Parent
 9576 	9581
 9586 	9581
 9787 	9776
 9950 	9936
 9971 	9972
 9992 	9972
 66 	74
 92 	74
 161 	137
 399 	405
 427 	471
 504 	471
 548 	562
 633 	581
 763 	786
 810 	843
 965 	1376
 1520 	1376
 1623 	1712
 1725 	1712
 1887 	2201
 2309 	2201
 2794 	2759
 3177 	3262
 3272 	3262
 3347 	3359
 3475 	3432
 3590 	3687
 3735 	3687
 4023 	3752
 4242 	4289
 4383 	4341
 4397 	4419
 4453 	4516
 4628 	4621
 4933 	4817
 4978 	4960
 5041 	5060
 5175 	5060
 5312 	5316
 5536 	5453
 5689 	5706
 5766 	5706
 5875 	5830
 5892 	5941
 5961 	6034
 6134 	6034
 6203 	6444
 6849 	6444
 7020 	7187
 7229 	7187
 7359 	7401
 7433 	7401
 7595 	7553
 7624 	7645
 7662 	7685
 7841 	7737
 8205 	8134
 8401 	8412
 8521 	8412
 8817 	8873
 9075 	8873
 9086 	9103
 9313 	9259
 9464 	9466
 9499 	9576
 9622 	9586
 9969 	9971
 9989 	9992
 166 	161
 547 	548
 552 	548
 629 	633
 642 	633
 721 	763
 775 	763
 819 	810
 856 	965
 1365 	965
 1402 	1520
 1589 	1520
 1598 	1623
 1707 	1623
 1884 	1887
 2187 	1887
 2217 	2309
 2556 	2309
 2779 	2794
 3220 	3177
 3286 	3272
 3322 	3347
 3562 	3590
 3620 	3590
 3703 	3735
 4020 	4023
 4202 	4242
 4250 	4242
 4459 	4453
 4683 	4628
 4843 	4933
 4992 	4978
 5169 	5175
 5199 	5175
 5532 	5536
 5716 	5766
 5792 	5766
 5846 	5875
 5888 	5892
 5946 	5961
 6002 	5961
 6115 	6134
 6174 	6203
 6380 	6203
 6770 	6849
 6853 	6849
 7108 	7020
 7219 	7229
 7275 	7229
 7346 	7359
 7363 	7359
 7407 	7433
 7567 	7595
 7818 	7841
 7889 	7841
 8338 	8401
 8422 	8521
 8608 	8521
 8802 	8817
 9033 	9075
 9088 	9086
 9323 	9313
 9432 	9464
 9570 	9499
 9589 	9622
 9973 	9989
 252 	166
 523 	547
 602 	629
 715 	721
 762 	721
 782 	775
 877 	856
 1037 	1365
 1397 	1402
 1508 	1402
 1567 	1589
 1626 	1707
 2121 	2187
 2283 	2217
 2366 	2556
 2606 	2556
 3197 	3220
 3241 	3220
 3572 	3562
 3618 	3620
 3666 	3620
 3863 	4020
 4158 	4202
 4233 	4202
 4284 	4250
 4511 	4459
 4647 	4683
 4697 	4683
 4851 	4843
 5167 	5169
 5481 	5532
 5956 	5946
 5977 	6002
 6021 	6002
 6112 	6115
 6243 	6380
 6391 	6380
 6473 	6770
 6809 	6770
 7069 	7108
 7166 	7108
 7217 	7219
 7221 	7219
 7319 	7346
 7393 	7363
 7404 	7407
 7569 	7567
 7882 	7889
 8304 	8338
 8389 	8338
 8449 	8422
 8571 	8608
 8703 	8608
 8814 	8802
 8947 	9033
 9368 	9432
 9444 	9432
 9547 	9570
 9574 	9570
 212 	252
 713 	715
 922 	877
 1023 	1037
 1111 	1037
 1436 	1508
 1510 	1508
 1571 	1567
 1639 	1626
 2072 	2121
 2144 	2121
 2275 	2283
 2362 	2366
 2511 	2366
 2574 	2606
 3214 	3197
 3598 	3618
 3641 	3666
 3667 	3666
 3781 	3863
 3864 	3863
 4280 	4284
 4730 	4697
 5501 	5481
 6012 	6021
 6049 	6112
 6239 	6243
 6293 	6243
 6459 	6473
 6634 	6473
 7033 	7069
 7143 	7166
 7183 	7166
 7339 	7319
 7364 	7393
 7578 	7569
 8336 	8304
 8354 	8389
 8473 	8449
 8545 	8571
 8581 	8571
 8884 	8947
 8959 	8947
 9500 	9547
 217 	212
 888 	922
 1100 	1111
 1288 	1111
 1421 	1436
 1506 	1436
 1641 	1639
 1923 	2072
 2116 	2072
 2322 	2362
 2374 	2511
 2526 	2511
 2562 	2574
 3671 	3667
 3757 	3781
 3858 	3781
 3939 	3864
 4710 	4730
 6076 	6049
 6267 	6293
 6303 	6293
 6491 	6634
 6714 	6634
 7059 	7033
 8494 	8473
 8526 	8545
 8554 	8545
 8874 	8884
 8925 	8884
 8967 	8959
 878 	888
 1051 	1100
 1235 	1288
 1295 	1288
 1414 	1421
 1467 	1506
 1701 	1641
 1982 	1923
 2093 	2116
 2330 	2322
 2379 	2374
 3760 	3757
 3785 	3858
 3930 	3939
 3981 	3939
 4715 	4710
 6270 	6267
 6301 	6303
 6624 	6491
 6661 	6714
 8513 	8494
 8876 	8874
 1254 	1235
 1345 	1295
 1443 	1467
 1654 	1701
 1946 	1982
 2068 	1982
 2480 	2379
 3786 	3785
 3873 	3930
 3966 	3981
 6280 	6270
 6528 	6624
 1332 	1345
 1446 	1443
 2050 	2068
 2472 	2480
 6559 	6528
 2013 	2050
 2424 	2472
 2394 	2424
 2466 	2424
 2410 	2394

BFS tree before finding...
By using Splay_Tree_BFS_Search, find 9500 in Splay tree: 9500
Removing Operation:

Removing 1567

Removing 4628

Removing 1295

Removing 6391

Removing 2562

Removing 66

Removing 427

Removing 3930

Removing 9586

Removing 6301

Removing 8581

Removing 5875

Removing 1654

Removing 1923

Removing 762

Removing 7217

Removing 4817

Removing 9658

Removing 1235

Removing 7433

Removing 4023

Removing 3432

Removing 9787

Removing 9581

Removing 8703

Removing 1037

Removing 2379

Removing 1467

Removing 4341

Removing 6661

Removing 8608

Removing 1589

Removing 8276

Removing 7662

Removing 5391

Removing 3177

Removing 1725

Removing 6267

Removing 7624

Removing 6021

Removing 2144

Removing 8723

Removing 846

Removing 4031

Removing 50

Removing 7603

Removing 6988

Removing 5676

Removing 5794

Removing 1731

Removing 8736

Removing 5802

Removing 8302

Removing 7494

Removing 5656

Removing 9130

Removing 3547

Removing 1737

Removing 9495

Removing 8083

Removing 510

Removing 5255

Removing 7364

Removing 7567

Removing 7393

Removing 5501

Removing 8082

Removing 8304

Removing 6303

Removing 523

Removing 7339

Removing 9574

Removing 3785

Removing 1946

Removing 4538

Removing 1332

Removing 3966

Removing 4233

Removing 3786

Removing 3214

Removing 8731

Removing 7818

Removing 7553

Removing 4114

Removing 7685

Removing 1421

Removing 5060

Removing 370

Removing 5977

Removing 3475

Removing 381

Removing 9971

Removing 6491

Removing 8050

Removing 4289

Removing 3359

Removing 1598

Removing 8422

Removing 4697

Removing 4941

Removing 405

Removing 5830

 Node	Parent
------	------
 5804 	0
 5041 	5804
 8412 	5804
 4933 	5041
 5792 	5041
 6293 	8412
 9969 	8412
 399 	4933
 5023 	4933
 5646 	5792
 5961 	6293
 6473 	6293
 8571 	9969
 9972 	9969
 395 	399
 4683 	399
 4960 	5023
 5209 	5646
 5675 	5646
 5878 	5961
 6243 	5961
 6380 	6473
 8249 	6473
 8521 	8571
 9576 	8571
 9992 	9972
 356 	395
 1594 	4683
 4756 	4683
 4978 	4960
 5175 	5209
 5481 	5209
 5766 	5675
 5846 	5878
 5944 	5878
 6002 	6243
 6270 	6243
 6444 	6380
 8048 	8249
 8338 	8249
 8449 	8521
 8545 	8521
 9570 	9576
 9961 	9576
 9989 	9992
 64 	356
 390 	356
 1402 	1594
 4284 	1594
 4748 	4756
 4843 	4756
 4992 	4978
 5169 	5175
 5199 	5175
 5453 	5481
 5641 	5481
 5706 	5766
 5941 	5944
 5946 	5944
 6012 	6002
 6280 	6270
 6459 	6444
 7737 	8048
 8080 	8048
 8336 	8338
 8401 	8338
 8473 	8449
 8526 	8545
 8554 	8545
 9467 	9570
 9913 	9961
 9973 	9989
 2 	64
 120 	64
 504 	1402
 1571 	1402
 3421 	4284
 4621 	4284
 4730 	4748
 4851 	4843
 5167 	5169
 5379 	5453
 5539 	5641
 5689 	5706
 5716 	5706
 5892 	5941
 5956 	5946
 6157 	6012
 7652 	7737
 7987 	7737
 8100 	8080
 8389 	8401
 8494 	8473
 9103 	9467
 9497 	9467
 9776 	9913
 9936 	9913
 60 	2
 74 	120
 274 	120
 413 	504
 843 	504
 1414 	1571
 3347 	3421
 4202 	3421
 4516 	4621
 4647 	4621
 4710 	4730
 5258 	5379
 5536 	5539
 5566 	5539
 5888 	5892
 6034 	6157
 6203 	6157
 7319 	7652
 7689 	7652
 7930 	7987
 8039 	7987
 8134 	8100
 8354 	8389
 8513 	8494
 9084 	9103
 9256 	9103
 9499 	9497
 9760 	9776
 9844 	9776
 9950 	9936
 92 	74
 129 	274
 471 	413
 721 	843
 1288 	843
 1446 	1414
 3302 	3347
 4081 	4202
 4250 	4202
 4296 	4516
 4594 	4516
 4715 	4710
 5351 	5258
 5532 	5536
 5615 	5566
 6134 	6034
 6174 	6203
 6239 	6203
 7280 	7319
 7504 	7319
 7734 	7689
 7841 	7930
 7973 	7930
 8002 	8039
 8205 	8134
 8873 	9084
 9086 	9084
 9142 	9256
 9325 	9256
 9547 	9499
 9635 	9760
 137 	129
 663 	721
 790 	721
 1111 	1288
 1376 	1288
 1436 	1446
 1520 	1446
 3197 	3302
 3322 	3302
 3781 	4081
 4147 	4081
 4242 	4250
 4280 	4250
 4448 	4296
 4560 	4594
 4610 	4594
 5310 	5351
 5601 	5615
 5627 	5615
 6115 	6134
 6886 	7280
 7363 	7504
 7595 	7504
 7713 	7734
 7889 	7841
 7942 	7973
 8817 	8873
 9075 	8873
 9088 	9086
 9206 	9142
 9259 	9325
 9466 	9325
 9500 	9547
 9622 	9635
 161 	137
 562 	663
 690 	663
 786 	790
 810 	790
 1023 	1111
 1254 	1111
 1345 	1376
 1397 	1376
 1443 	1436
 1508 	1520
 1712 	3197
 3262 	3197
 3535 	3781
 3939 	3781
 4158 	4147
 4442 	4448
 4453 	4448
 5341 	5310
 6112 	6115
 6634 	6886
 7187 	6886
 7359 	7363
 7407 	7363
 7569 	7595
 7645 	7595
 7706 	7713
 7720 	7713
 7882 	7889
 8802 	8817
 9033 	9075
 9181 	9206
 9313 	9259
 9464 	9466
 9589 	9622
 166 	161
 547 	562
 568 	562
 669 	690
 715 	690
 763 	786
 819 	810
 965 	1023
 1100 	1023
 1365 	1345
 1506 	1508
 1510 	1508
 1641 	1712
 1887 	1712
 3220 	3262
 3272 	3262
 3752 	3535
 3873 	3939
 4020 	3939
 4389 	4442
 4459 	4453
 5316 	5341
 6049 	6112
 6624 	6634
 6872 	6634
 7020 	7187
 7219 	7187
 7346 	7359
 7401 	7407
 7578 	7569
 7710 	7706
 8814 	8802
 8947 	9033
 9323 	9313
 9432 	9464
 252 	166
 548 	547
 581 	568
 713 	715
 775 	763
 856 	965
 1051 	1100
 1623 	1641
 1707 	1641
 1841 	1887
 3167 	1887
 3241 	3220
 3286 	3272
 3750 	3752
 3757 	3752
 3858 	3873
 3981 	4020
 4383 	4389
 4419 	4389
 4511 	4459
 5312 	5316
 6076 	6049
 6528 	6624
 6849 	6872
 7108 	7020
 7229 	7219
 7404 	7401
 8884 	8947
 8959 	8947
 9368 	9432
 9444 	9432
 212 	252
 552 	548
 633 	581
 782 	775
 877 	856
 1639 	1623
 1701 	1707
 1815 	1841
 1876 	1841
 2121 	3167
 3687 	3750
 3760 	3757
 3863 	3858
 4397 	4419
 6559 	6528
 6770 	6849
 6853 	6849
 7069 	7108
 7166 	7108
 7221 	7229
 7275 	7229
 8874 	8884
 8925 	8884
 8967 	8959
 217 	212
 629 	633
 642 	633
 922 	877
 1626 	1639
 1819 	1815
 1866 	1876
 1884 	1876
 1982 	2121
 2374 	2121
 3590 	3687
 3735 	3687
 3864 	3863
 6714 	6770
 6809 	6770
 7033 	7069
 7143 	7166
 7183 	7166
 8876 	8874
 602 	629
 888 	922
 1848 	1866
 1869 	1866
 2072 	1982
 2366 	2374
 3137 	2374
 3562 	3590
 3620 	3590
 3703 	3735
 7059 	7033
 878 	888
 1856 	1848
 2068 	2072
 2116 	2072
 2187 	2366
 2556 	3137
 3572 	3562
 3618 	3620
 3666 	3620
 2050 	2068
 2093 	2116
 2201 	2187
 2511 	2556
 2811 	2556
 3598 	3618
 3641 	3666
 3667 	3666
 2013 	2050
 2309 	2201
 2480 	2511
 2526 	2511
 2649 	2811
 3057 	2811
 3671 	3667
 2217 	2309
 2362 	2309
 2472 	2480
 2574 	2649
 2676 	2649
 2883 	3057
 3098 	3057
 2283 	2217
 2322 	2362
 2424 	2472
 2606 	2574
 2742 	2676
 2833 	2883
 3011 	2883
 3073 	3098
 2275 	2283
 2330 	2322
 2394 	2424
 2466 	2424
 2759 	2742
 2812 	2833
 2879 	2833
 2999 	3011
 3074 	3073
 2410 	2394
 2794 	2759
 2779 	2794
